id,alert_rule_id,run_hour,operator,receiving_country,price_gap,total_sending_amount,gme_baseline,notified_at,email_sent_to,alert_type,threshold
501,8,2026-04-07 17:00,GMoneyTrans,Thailand,-1504,1206407,1207911,2026-04-07T08:01:42.073235+00:00,lanovk@gmeremit.com,price,-100
500,13,2026-04-07 16:30,Hanpass,Indonesia,0.12323044109113113,1150049,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
493,13,2026-04-07 16:30,Coinshot,Indonesia,0.03246577290594033,1156777,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
494,13,2026-04-07 16:30,SBI,Indonesia,0.04935141773627194,1157549,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
495,13,2026-04-07 16:30,JRF,Indonesia,0.05985224396716404,1156477,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
496,13,2026-04-07 16:30,E9Pay,Indonesia,0.06002873071938453,1156459,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
497,13,2026-04-07 16:30,GMoneyTrans,Indonesia,0.08230045285982257,1151692,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
498,13,2026-04-07 16:30,Cross,Indonesia,0.10361275525974634,1152031,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
499,13,2026-04-07 16:30,Utransfer,Indonesia,0.10787299000073602,1151600,1162614,2026-04-07T07:36:38.646736+00:00,lanovk@gmeremit.com,rate,0.01
492,6,2026-04-07 16:30,E9Pay,Indonesia,-6155,1156459,1162614,2026-04-07T07:36:37.542217+00:00,lanovk@gmeremit.com,price,-100
491,6,2026-04-07 16:30,GMoneyTrans,Indonesia,-10922,1151692,1162614,2026-04-07T07:36:37.542217+00:00,lanovk@gmeremit.com,price,-100
489,6,2026-04-07 16:00,GMoneyTrans,Indonesia,-9570,1153044,1162614,2026-04-07T07:01:44.104144+00:00,lanovk@gmeremit.com,price,-100
490,6,2026-04-07 16:00,E9Pay,Indonesia,-4937,1157677,1162614,2026-04-07T07:01:44.104144+00:00,lanovk@gmeremit.com,price,-100
488,9,2026-04-07 15:30,Hanpass,Thailand,-4906,1202733,1207639,2026-04-07T06:31:43.774734+00:00,lanovk@gmeremit.com,price,-100
487,1,2026-04-07 15:30,GMoneyTrans,Indonesia,-9702,1152912,1162614,2026-04-07T06:31:39.688691+00:00,lanovk@gmeremit.com,price,-100
484,13,2026-04-07 15:00,Utransfer,Indonesia,0.0822217038452493,1154200,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
483,13,2026-04-07 15:00,GMoneyTrans,Indonesia,0.07900377593000663,1152027,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
482,13,2026-04-07 15:00,JRF,Indonesia,0.06110738077628319,1156349,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
480,13,2026-04-07 15:00,SBI,Indonesia,0.044978576834758144,1157996,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
479,13,2026-04-07 15:00,Coinshot,Indonesia,0.03246577290594033,1156777,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
481,13,2026-04-07 15:00,E9Pay,Indonesia,0.04809889304437398,1157677,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
486,13,2026-04-07 15:00,Hanpass,Indonesia,0.10358311287361133,1152034,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
485,13,2026-04-07 15:00,Cross,Indonesia,0.09163998048158106,1153244,1162614,2026-04-07T06:02:07.268911+00:00,lanovk@gmeremit.com,rate,0.01
478,6,2026-04-07 15:00,E9Pay,Indonesia,-4937,1157677,1162614,2026-04-07T06:02:04.451086+00:00,lanovk@gmeremit.com,price,-100
477,6,2026-04-07 15:00,GMoneyTrans,Indonesia,-10587,1152027,1162614,2026-04-07T06:02:04.451086+00:00,lanovk@gmeremit.com,price,-100
475,11,2026-04-07 15:00,JRF,Thailand,-914,1206590,1207504,2026-04-07T06:02:02.405823+00:00,lanovk@gmeremit.com,price,-100
476,11,2026-04-07 15:00,GMoneyTrans,Thailand,-826,1206678,1207504,2026-04-07T06:02:02.405823+00:00,lanovk@gmeremit.com,price,-100
474,11,2026-04-07 15:00,Hanpass,Thailand,-4411,1203093,1207504,2026-04-07T06:02:02.405823+00:00,lanovk@gmeremit.com,price,-100
