id,receiving_country,operator,delivery_method,fee_krw,notes,updated_at,manually_edited,edited_at,effective_until,original_fee
650,Laos,GME,Bank Deposit (USD),5000,,2026-04-12T03:30:50.791+00:00,false,,,
593,India,GME,Bank Deposit,5000,,2026-04-12T03:01:29.762+00:00,false,,,
644,Timor Leste,GME,Bank Deposit,5000,,2026-04-12T03:00:57.737+00:00,false,,,
575,Laos,GME,Bank Deposit,5000,,2026-04-09T01:30:58.539+00:00,false,,,
628,Cambodia,GME,Cash Pickup,5000,,2026-04-12T03:31:00.199+00:00,false,,,
616,Uzbekistan,GME,Cash Pickup,5000,,2026-04-12T03:31:00.953+00:00,false,,,
651,Laos,Hanpass,Bank Deposit (USD),5000,,2026-04-09T02:01:07.489+00:00,false,,,
652,Laos,Cross,Bank Deposit (USD),0,,2026-04-09T02:01:07.489+00:00,false,,,
646,Laos,GME,Bank Deposit (LAK),5000,,2026-04-12T03:30:56.128+00:00,false,,,
610,Russia,GME,Cash Payment,5000,,2026-04-12T03:01:43.571+00:00,false,,,
647,Laos,GMoneyTrans,Bank Deposit (LAK),5000,,2026-04-09T02:01:03.883+00:00,false,,,
648,Laos,E9Pay,Bank Deposit (LAK),5000,,2026-04-09T02:01:03.883+00:00,false,,,
649,Laos,Hanpass,Bank Deposit (LAK),5000,,2026-04-09T02:01:03.883+00:00,false,,,
632,Kazakhstan,GME,Cash Pickup,5000,,2026-04-12T03:31:01.155+00:00,false,,,
645,Timor Leste,GME,Cash Pickup (MoneyGram),5000,,2026-04-12T03:00:57.737+00:00,false,,,
11,Mongolia,GMoneyTrans,Bank Deposit,2500,,2026-03-26T02:01:29.548+00:00,false,,,
12,Mongolia,Utransfer,Bank Deposit,5000,,2026-03-26T02:01:29.548+00:00,false,,,
63,China,GMoneyTrans,Alipay,4000,,2026-03-26T02:01:44.217+00:00,false,,,
67,China,Hanpass,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
13,Mongolia,Cross,Bank Deposit,5000,,2026-03-26T02:01:29.548+00:00,false,,,
77,Nepal,GMoneyTrans,Bank Deposit,2500,,2026-03-26T02:01:43.539+00:00,false,,,
78,Nepal,Sentbe,Bank Deposit,0,,2026-03-26T02:01:43.539+00:00,false,,,
72,China,E9Pay,Alipay,7000,,2026-03-26T02:01:44.217+00:00,false,,,
79,Nepal,Hanpass,Bank Deposit,2500,,2026-03-26T02:01:43.539+00:00,false,,,
80,Nepal,JRF,Bank Deposit,3000,,2026-03-26T02:01:43.539+00:00,false,,,
81,Nepal,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:43.539+00:00,false,,,
57,Cambodia,Sentbe,Bank Deposit,1875,,2026-03-26T02:01:32.014+00:00,false,,,
58,Cambodia,Hanpass,Bank Deposit,5000,,2026-03-26T02:01:32.014+00:00,false,,,
59,Cambodia,SBI,Bank Deposit,5000,,2026-03-26T02:01:32.014+00:00,false,,,
60,Cambodia,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:32.014+00:00,false,,,
32,Indonesia,Coinshot,Bank Deposit,2500,,2026-03-26T04:42:31.882+00:00,false,,,
26,Indonesia,GMoneyTrans,Bank Deposit,2500,,2026-03-26T05:44:09.419+00:00,false,,,
46,Thailand,GMoneyTrans,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
47,Thailand,WireBarley,Bank Deposit,0,,2026-03-26T02:01:43.898+00:00,false,,,
48,Thailand,Sentbe,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
49,Thailand,Hanpass,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
50,Thailand,SBI,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
51,Thailand,Cross,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
36,Philippines,GMoneyTrans,Bank Deposit,3000,,2026-03-26T02:01:32.634+00:00,false,,,
37,Philippines,SBI,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
27,Indonesia,Sentbe,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
28,Indonesia,Hanpass,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
29,Indonesia,Utransfer,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
30,Indonesia,SBI,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
6,Myanmar,GMoneyTrans,Bank Deposit,5000,,2026-03-26T02:00:57.466+00:00,false,,,
7,Myanmar,Hanpass,Bank Deposit,5000,,2026-03-26T02:00:57.466+00:00,false,,,
8,Myanmar,SBI,Bank Deposit,5000,,2026-03-26T02:00:57.466+00:00,false,,,
9,Myanmar,E9Pay,Bank Deposit,8000,,2026-03-26T02:00:57.466+00:00,false,,,
38,Philippines,Coinshot,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
39,Philippines,Cross,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
40,Philippines,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
31,Indonesia,Cross,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
33,Indonesia,JRF,Bank Deposit,5000,,2026-03-26T02:01:44.393+00:00,false,,,
18,Vietnam,Sentbe,Bank Deposit,5000,,2026-03-26T02:01:46.327+00:00,false,,,
19,Vietnam,SBI,Bank Deposit,7000,,2026-03-26T02:01:46.327+00:00,false,,,
20,Vietnam,GMoneyTrans,Bank Deposit,3500,,2026-03-26T02:01:46.327+00:00,false,,,
21,Vietnam,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:46.327+00:00,false,,,
22,Vietnam,Hanpass,Bank Deposit,5000,,2026-03-26T02:01:46.327+00:00,false,,,
23,Vietnam,Cross,Bank Deposit,5000,,2026-03-26T02:01:46.327+00:00,false,,,
24,Vietnam,JRF,Bank Deposit,4500,,2026-03-26T02:01:46.327+00:00,false,,,
14,Mongolia,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:29.548+00:00,false,,,
15,Mongolia,Coinshot,Bank Deposit,2500,,2026-03-26T02:01:29.548+00:00,false,,,
16,Mongolia,Hanpass,Bank Deposit,2500,,2026-03-26T02:01:29.548+00:00,false,,,
42,Philippines,Utransfer,Bank Deposit,2500,,2026-03-26T02:01:32.634+00:00,false,,,
43,Philippines,Hanpass,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
53,Thailand,JRF,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
54,Thailand,E9Pay,Bank Deposit,5000,,2026-03-26T02:01:43.898+00:00,false,,,
595,Timor Leste,GMoneyTrans,Bank Deposit,0,,2026-04-02T02:30:51.039+00:00,false,,,
34,Indonesia,E9Pay,Bank Deposit,5000,,2026-04-02T00:31:29.629+00:00,false,,,
596,Timor Leste,GMoneyTrans,Cash Pickup (MoneyGram),0,,2026-04-02T02:30:51.039+00:00,false,,,
65,China,Sentbe,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
68,China,SBI,Alipay,5000,,2026-03-26T02:01:44.217+00:00,false,,,
70,China,WireBarley,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
71,China,Coinshot,Alipay,10000,,2026-03-26T02:01:44.217+00:00,false,,,
73,China,Utransfer,Alipay,5000,,2026-03-26T02:01:44.217+00:00,false,,,
74,China,Moin,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
579,Pakistan,GMoneyTrans,Bank Deposit,0,,2026-03-30T09:01:34.897+00:00,false,,,
580,Pakistan,Sentbe,Bank Deposit,0,,2026-03-30T09:01:34.897+00:00,false,,,
581,Pakistan,Hanpass,Bank Deposit,0,,2026-03-30T09:01:34.897+00:00,false,,,
582,Pakistan,JRF,Bank Deposit,3000,,2026-03-30T09:01:34.897+00:00,false,,,
584,Sri Lanka,Sentbe,Bank Deposit,0,,2026-03-30T09:01:46.838+00:00,false,,,
585,Sri Lanka,E9Pay,Bank Deposit,5000,,2026-03-30T09:01:46.838+00:00,false,,,
586,Sri Lanka,GMoneyTrans,Bank Deposit,2500,,2026-03-30T09:01:46.838+00:00,false,,,
587,Sri Lanka,Coinshot,Bank Deposit,0,,2026-03-30T09:01:46.838+00:00,false,,,
588,Sri Lanka,JRF,Bank Deposit,3000,,2026-03-30T09:01:46.838+00:00,false,,,
589,Sri Lanka,Hanpass,Bank Deposit,5000,,2026-03-30T09:01:46.838+00:00,false,,,
56,Cambodia,GMoneyTrans,Bank Deposit,2500,,2026-03-26T02:01:32.014+00:00,false,,,
82,Nepal,Coinshot,Bank Deposit,0,,2026-03-26T02:01:43.539+00:00,false,,,
69,China,Cross,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
75,China,Debunk,Alipay,0,,2026-03-26T02:01:44.217+00:00,false,,,
597,Timor Leste,Hanpass,Bank Deposit,5000,,2026-04-02T02:30:51.039+00:00,false,,,
598,Timor Leste,Hanpass,Cash Pickup (MoneyGram),5000,,2026-04-02T02:30:51.039+00:00,false,,,
41,Philippines,JRF,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
44,Philippines,Sentbe,Bank Deposit,5000,,2026-03-26T02:01:32.634+00:00,false,,,
605,Bangladesh,GMoneyTrans,Bank Deposit,5000,,2026-04-02T06:31:28.972+00:00,false,,,
606,Bangladesh,E9Pay,Bank Deposit,5000,,2026-04-02T06:31:28.972+00:00,false,,,
607,Bangladesh,Utransfer,Bank Deposit,5000,,2026-04-02T06:31:28.972+00:00,false,,,
35,Philippines,GME,Bank Deposit,5000,,2026-04-12T03:01:45.582+00:00,false,,,
45,Thailand,GME,Bank Deposit,5000,,2026-04-12T03:31:27.48+00:00,false,,,
583,Sri Lanka,GME,Bank Deposit,5000,,2026-04-12T03:30:59.366+00:00,false,,,
17,Vietnam,GME,Bank Deposit,5000,,2026-04-12T03:30:56.815+00:00,false,,,
55,Cambodia,GME,Bank Deposit,5000,,2026-04-12T03:31:00.199+00:00,false,,,
604,Bangladesh,GME,Bank Deposit,5000,,2026-04-12T03:31:29.186+00:00,false,,,
52,Thailand,Coinshot,Bank Deposit,2500,,2026-04-08T08:01:52.861+00:00,true,2026-04-08T08:01:52.861+00:00,2026-04-30T08:01:00+00:00,5000
578,Pakistan,GME,Bank Deposit,0,,2026-04-12T03:31:03.119+00:00,false,,,
